Division ID,Rd1 Layout,Rd2 Layout,Rd3 Layout,Rd1 Last Hole Length,Rd2 Last Hole Length,Rd3 Last Hole Length,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd2,Rd3,Rd1 Rating,Rd2 Rating,Rd3 Rating,Total,Event,Major
MPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,1.0,30.0,Dustin Keegan,35187.0,1002.0,-23,53.0,57.0,47.0,979.0,970.0,1038.0,157.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,2.0,25.0,Mark Oxer,112340.0,896.0,-3,62.0,60.0,55.0,890.0,943.0,959.0,177.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,2.0,25.0,Benjamin Smith,34835.0,950.0,-3,55.0,60.0,62.0,959.0,943.0,890.0,177.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,4.0,15.0,Jake Walpole,124575.0,903.0,-1,57.0,59.0,63.0,940.0,952.0,880.0,179.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,5.0,10.0,Ben Matthews,146880.0,942.0,+1,64.0,62.0,55.0,871.0,924.0,959.0,181.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,6.0,0.0,Asim Ali,133094.0,949.0,,60.0,64.0,999.0,910.0,906.0,,999.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FPO,60.0,60.0,60.0,1819.0,1819.0,1819.0,1.0,3.0,Zoe AnDyke,39504.0,914.0,-4,60.0,60.0,56.0,910.0,943.0,950.0,176.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,1.0,35.0,Daniel Morgan,140118.0,874.0,+4,60.0,63.0,61.0,910.0,915.0,900.0,184.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,2.0,30.0,Jakob Zwank,191632.0,901.0,+4,62.0,65.0,57.0,890.0,896.0,940.0,184.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,3.0,25.0,Patrick McGeough,176105.0,904.0,+7,62.0,65.0,60.0,890.0,896.0,910.0,187.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,4.0,20.0,Sean Craig,137639.0,895.0,+13,60.0,75.0,58.0,910.0,804.0,930.0,193.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,5.0,15.0,Chris Millar,111810.0,873.0,+15,64.0,68.0,63.0,871.0,869.0,880.0,195.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,6.0,10.0,Andrew Coulter,184370.0,857.0,+22,66.0,68.0,68.0,851.0,869.0,831.0,202.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
MA1,60.0,60.0,60.0,1819.0,1819.0,1819.0,7.0,0.0,Isaac McCauley,182219.0,869.0,,64.0,63.0,999.0,871.0,915.0,,999.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA1,60.0,60.0,60.0,1648.0,1648.0,1648.0,1.0,6.0,Jennifer Houghtaling,83256.0,788.0,+35,73.0,72.0,70.0,749.0,794.0,780.0,215.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
FA1,60.0,60.0,60.0,1648.0,1648.0,1648.0,2.0,0.0,Eavan O’Brien,,,,78.0,70.0,999.0,696.0,814.0,,999.0,Battle on the Bann ‘23 in association with Flickline Disc golf ,0
