Name,Division ID,Event,Adjusted Total,rank,Quaich Tour Points
Rick Rick,MPO,Scottish Matchplay Championships - Ides of Match,1,1.0,100
Ben Preston,MPO,Scottish Matchplay Championships - Ides of Match,2,2.0,97
Pete Dawson,MPO,Scottish Matchplay Championships - Ides of Match,3,3.0,94
Benji Heywood,MPO,Scottish Matchplay Championships - Ides of Match,4,4.0,92
Charlie Obrien,MPO,Scottish Matchplay Championships - Ides of Match,5,5.0,89
Chris O'Brien,MPO,Scottish Matchplay Championships - Ides of Match,6,6.0,86
Andrew Finlay,MPO,Scottish Matchplay Championships - Ides of Match,7,7.0,84
Chris Smith,MPO,Scottish Matchplay Championships - Ides of Match,8,8.0,81
Seamus Scanlon,MPO,Scottish Matchplay Championships - Ides of Match,9,9.0,89
Lloyd Wells,MPO,Scottish Matchplay Championships - Ides of Match,10,10.0,86
Alan Davidson,MPO,Scottish Matchplay Championships - Ides of Match,11,11.0,84
Paul Hodgson,MPO,Scottish Matchplay Championships - Ides of Match,12,12.0,81
Trevor Bechtel,MPO,Scottish Matchplay Championships - Ides of Match,13,13.0,79
Laurence Jordan,MPO,Scottish Matchplay Championships - Ides of Match,14,14.0,76
Christopher Burrows,MPO,Scottish Matchplay Championships - Ides of Match,15,15.0,73
Fergus McLean,MPO,Scottish Matchplay Championships - Ides of Match,16,16.0,71
Tiffany Strandbygaard,MPO,Scottish Matchplay Championships - Ides of Match,17,17.0,79
Graham McGill,MPO,Scottish Matchplay Championships - Ides of Match,18,18.0,76
Cole Hamilton,MPO,Scottish Matchplay Championships - Ides of Match,19,19.0,73
Graham Robbie,MPO,Scottish Matchplay Championships - Ides of Match,20,20.0,71
Rob Ng,MPO,Scottish Matchplay Championships - Ides of Match,21,21.0,68
Jack Edgar,MPO,Scottish Matchplay Championships - Ides of Match,22,22.0,66
James McHardy,MPO,Scottish Matchplay Championships - Ides of Match,23,23.0,63
Fergus Bolton,MPO,Scottish Matchplay Championships - Ides of Match,24,24.0,60
Kyle Roderick,MPO,Scottish Matchplay Championships - Ides of Match,25,25.0,68
Paul Molloy,MPO,Scottish Matchplay Championships - Ides of Match,26,26.0,66
John Clark,MPO,Scottish Matchplay Championships - Ides of Match,27,27.0,63
Thomas Wells,MPO,Scottish Matchplay Championships - Ides of Match,28,28.0,60
Callum Taylor,MPO,Scottish Matchplay Championships - Ides of Match,29,29.0,58
Ritchie Gardner,MPO,Scottish Matchplay Championships - Ides of Match,30,30.0,55
Alan Young,MPO,Scottish Matchplay Championships - Ides of Match,31,31.0,53
Joe Cohen,MPO,Scottish Matchplay Championships - Ides of Match,32,32.0,50
