Division ID,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd1 Rating,Rd1 Layout,Rd2,Rd2 Rating,Rd2 Layout,Rd3,Rd3 Rating,Rd3 Layout,Total
MPO,1,67.50,Charlie O'Brien,52595,985,-27,60,985,63,53,1043,63,51,1044,65,164
MPO,2,60.00,Joe O'Brien,64002,1005,-9,62,969,63,56,1018,63,64,930,65,182
MPO,3,52.50,Ben Preston,144400,935,-8,64,952,63,57,1010,63,62,948,65,183
MPO,4,45.00,Pete Dawson,8870,970,-6,68,919,63,62,969,63,55,1009,65,185
MPO,5,37.50,Michael Sharkey,113299,966,-5,63,960,63,64,952,63,59,974,65,186
MPO,6,30.00,Chris Flyin’ O'Brien,34659,977,-3,64,952,63,58,1002,63,66,913,65,188
MPO,7,22.50,Rick Rick,37024,971,+1,67,927,63,67,927,63,58,983,65,192
MPO,7,22.50,John Bruce,8845,957,+1,65,944,63,61,977,63,66,913,65,192
MPO,9,7.50,Patrick McCauley,106061,905,+16,65,944,63,72,886,63,70,878,65,207
FPO,1,4.50,Rachel Turton,144658,937,+1,64,952,63,64,952,63,64,930,65,192
MP40,1,6.00,Ben Heywood,144476,933,+4,70,903,63,62,969,63,63,939,65,195
MA1,1,82.50,Ewan Penman,205573,902,+3,66,936,63,66,936,63,62,948,65,194
MA1,2,75.00,Ross MacSporran,180534,892,+5,68,919,63,64,952,63,64,930,65,196
MA1,3,67.50,Martin Hill,132715,904,+14,71,894,63,65,944,63,69,887,65,205
MA1,4,60.00,Jack Edgar,173197,925,+18,76,853,63,67,927,63,66,913,65,209
MA1,5,52.50,Alan Davidson,107583,899,+19,71,894,63,72,886,63,67,904,65,210
MA1,6,45.00,Callum Taylor,253060,911,+20,73,878,63,73,878,63,65,922,65,211
MA1,6,45.00,Cole Hamilton,107940,888,+20,73,878,63,70,903,63,68,895,65,211
MA1,8,30.00,Fergus McLean,176700,915,+23,69,911,63,71,894,63,74,843,65,214
MA1,9,22.50,Harry Messenger,110254,932,+24,73,878,63,76,853,63,66,913,65,215
MA1,9,22.50,Ben Bolton,179709,901,+24,75,861,63,67,927,63,73,852,65,215
MA1,11,7.50,Nathan Cox,244831,858,+26,73,878,63,71,894,63,73,852,65,217
FA1,1,4.50,Tiffany Strandbygaard,144811,886,+22,70,903,63,73,878,63,70,878,65,213
MA40,1,36.00,Graham McGill,171402,896,+9,64,952,63,73,878,63,63,939,65,200
MA40,2,30.00,Paul Hodgson,80099,890,+10,67,927,63,70,903,63,64,930,65,201
MA40,3,24.00,Andrew Finlay,80128,911,+13,72,886,63,67,927,63,65,922,65,204
MA40,4,18.00,Trevor Bechtel,8805,902,+22,74,870,63,73,878,63,66,913,65,213
MA40,5,12.00,Lloyd Wells,201061,900,+23,83,795,63,63,960,63,68,895,65,214
MA40,6,6.00,David Wilson,203788,866,+28,73,878,63,74,870,63,72,861,65,219
MA50,1,13.50,Euan Pettitt,58203,876,+9,55,911,59,73,878,63,68,895,65,196
MA50,2,9.00,FRENCHIE .,104912,855,+25,63,819,59,73,878,63,76,826,65,212
MA50,3,4.50,Peter Keightley,146860,846,+30,65,796,59,76,853,63,76,826,65,217
MA60,1,3.00,Eric Turton,224750,798,+38,63,819,59,84,787,63,78,808,65,225
MA2,1,18.00,Thomas Wells,237667,887,+19,73,878,63,73,878,63,64,930,65,210
MA2,2,12.00,Kyle Roderick,203687,880,+23,75,861,63,70,903,63,69,887,65,214
MA2,3,6.00,Callum Beattie,147378,835,+35,78,837,63,72,886,63,76,826,65,226
MA3,1,67.50,Ritchie Gardner,205247,881,+13,63,819,59,69,911,63,68,895,65,200
MA3,2,63.00,Richard Backhouse,260906,868,+13,60,854,59,76,853,63,64,930,65,200
MA3,3,58.50,Duffy .,157352,890,+14,60,854,59,66,936,63,75,834,65,201
MA3,4,54.00,Ross Brown,239336,852,+15,56,900,59,73,878,63,73,852,65,202
MA3,5,49.50,John Hood,113996,858,+18,60,854,59,74,870,63,71,869,65,205
MA3,6,45.00,Peter Morrison,188781,850,+22,61,842,59,80,820,63,68,895,65,209
MA3,7,40.50,Callum Girdwood,252442,870,+28,65,796,59,76,853,63,74,843,65,215
MA3,7,40.50,James Clark,120496,823,+28,61,842,59,80,820,63,74,843,65,215
MA3,9,31.50,Ryan Junor,228334,810,+29,64,807,59,76,853,63,76,826,65,216
MA3,9,31.50,Phil Kirby,243795,857,+29,60,854,59,77,845,63,79,799,65,216
MA3,11,22.50,Thomas Dunn,257437,798,+35,64,807,59,82,804,63,76,826,65,222
MA3,12,18.00,Euan Boyle,228348,796,+37,64,807,59,85,779,63,75,834,65,224
MA3,12,18.00,James Reddaway,259983,820,+37,62,830,59,84,787,63,78,808,65,224
MA3,14,0.00,Taran Fiddes,,,,65,796,59,77,845,63,999,,65,DNF
MA3,15,0.00,Peter O'Brien,174236,835,,61,842,59,999,,63,999,,65,DNF
MA4,1,18.00,Richard Beaumont,252556,826,-7,58,877,59,60,854,59,52,946,59,170
MA4,2,15.00,Laura Fyfe,150220,826,+10,66,784,59,63,819,59,58,877,59,187
