Division ID,Rd1 Layout,Rd2 Layout,Rd3 Layout,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd2,Rd3,Rd1 Rating,Rd2 Rating,Rd3 Rating,Total

Event: Battle on the Bann ‘23 in association with Flickline Disc golf 
MPO,60,60,60,1,30.00,Dustin Keegan,35187,1002,-23,53,57,47,979,970,1038,157
MPO,60,60,60,2,25.00,Mark Oxer,112340,896,-3,62,60,55,890,943,959,177
MPO,60,60,60,2,25.00,Benjamin Smith,34835,950,-3,55,60,62,959,943,890,177
MPO,60,60,60,4,15.00,Jake Walpole,124575,903,-1,57,59,63,940,952,880,179
MPO,60,60,60,5,10.00,Ben Matthews,146880,942,+1,64,62,55,871,924,959,181
MPO,60,60,60,6,0.00,Asim Ali,133094,949,,60,64,999,910,906,,999
FPO,60,60,60,1,3.00,Zoe AnDyke,39504,914,-4,60,60,56,910,943,950,176
MA1,60,60,60,1,35.00,Daniel Morgan,140118,874,+4,60,63,61,910,915,900,184
MA1,60,60,60,2,30.00,Jakob Zwank,191632,901,+4,62,65,57,890,896,940,184
MA1,60,60,60,3,25.00,Patrick McGeough,176105,904,+7,62,65,60,890,896,910,187
MA1,60,60,60,4,20.00,Sean Craig,137639,895,+13,60,75,58,910,804,930,193
MA1,60,60,60,5,15.00,Chris Millar,111810,873,+15,64,68,63,871,869,880,195
MA1,60,60,60,6,10.00,Andrew Coulter,184370,857,+22,66,68,68,851,869,831,202
MA1,60,60,60,7,0.00,Isaac McCauley,182219,869,,64,63,999,871,915,,999
FA1,60,60,60,1,6.00,Jennifer Houghtaling,83256,788,+35,73,72,70,749,794,780,215
FA1,60,60,60,2,0.00,Eavan O’Brien,,,,78,70,999,696,814,,999
MA40,60,60,60,1,24.00,Sanyam McNie,171513,890,-3,60,62,55,886,893,939,177
MA40,60,60,60,2,20.00,Graham McGill,171402,891,+1,62,62,57,865,893,918,181
MA40,60,60,60,3,16.00,David Finley,188784,785,+21,64,70,67,844,814,812,201
MA40,60,60,60,4,12.00,Gary Parr,56750,806,+23,69,71,63,791,804,854,203
MA40,60,60,60,5,8.00,Brian Rainey,185961,711,+37,73,75,69,749,765,791,217
MA40,60,60,60,6,4.00,James Houck,130211,766,+41,80,72,69,675,794,791,221
MA2,60,60,60,1,32.00,Harry McCallum,153637,860,+8,63,64,61,854,873,876,188
MA2,60,60,60,2,28.00,Peter Morrison,188781,861,+9,62,64,63,865,873,854,189
MA2,60,60,60,3,24.00,Jay Penn,135051,856,+12,63,65,64,854,863,844,192
MA2,60,60,60,4,20.00,Pádraig Mulholland,178970,847,+14,63,68,63,854,834,854,194
MA2,60,60,60,5,16.00,Alan Hogg,221136,816,+15,62,71,62,865,804,865,195
MA2,60,60,60,6,12.00,Jack Gibson,236462,794,+22,68,69,65,802,824,833,202
MA2,60,60,60,7,8.00,Patrick Grant,197778,798,+36,82,67,67,654,843,812,216
MA2,60,60,60,8,4.00,Pádraig Ó Gráda,237396,603,+75,80,93,82,675,588,654,255
FA2,60,60,60,1,10.00,Rachel Kane,187942,647,+57,78,79,80,696,725,675,237
FA2,60,60,60,2,8.00,Bronagh Murray,236950,654,+65,81,79,85,664,725,622,245
FA2,60,60,60,3,6.00,Aobh Sharvin,148934,561,+72,85,82,85,622,696,622,252
FA2,60,60,60,4,4.00,Corey Hanna,251491,,+113,103,99,91,432,529,559,293
FA2,60,60,60,5,2.00,Clare Maguire,,,+157,112,108,117,337,440,284,337

Event: Farewell Fanmore 
MPO,62,62,62,1,15.00,James Luton,8856,979,-15,56,55,60,984,1020,967,171
MPO,62,62,62,2,10.00,Pete Dawson,8870,970,-7,58,60,61,966,977,958,179
MPO,62,62,62,3,5.00,Ben Bolton,179709,861,+13,64,66,69,911,927,888,199
MP40,62,62,62,1,4.00,Neal Pickett,8850,904,+29,70,72,73,856,876,854,215
MP60,62,62,62,1,2.00,Charlie Mead,1980,866,+3,66,61,,893,958,,127
MA40,62,62,62,1,20.00,Trevor Bechtel,8805,901,+19,63,75,67,920,850,906,205
MA40,62,62,62,2,16.00,Lloyd Wells,201061,891,+23,69,70,70,865,893,880,209
MA40,62,62,62,3,12.00,David Wilson,203788,876,+27,71,75,67,847,850,906,213
MA40,62,62,62,4,8.00,Graham McGill,171402,890,+28,69,74,71,865,859,871,214
MA40,62,62,62,5,4.00,Michael McGowan,88187,867,+36,74,78,70,820,825,880,222
MA50,62,62,62,1,18.00,John Gore,195461,888,+24,67,72,71,883,876,871,210
MA50,62,62,62,2,15.00,Richard Clegg,8828,830,+47,81,78,74,756,825,845,233
MA50,62,62,62,3,12.00,Tim Herring,8819,806,+48,75,82,77,810,791,819,234
MA50,62,62,62,4,9.00,Peter Keightley,146860,834,+51,77,81,79,792,800,801,237
MA50,62,62,62,5,6.00,Davie Graham,239613,,+87,86,93,94,710,698,671,273
MA50,62,62,62,6,0.00,Arvind Sood,245565,,,89,999,999,682,,,999
MA65,62,62,62,1,0.00,Trant Luard,76292,650,,92,101,999,655,631,,999
MA2,62,62,62,1,48.00,Jamie Doak,157964,875,+14,71,65,64,847,935,932,200
MA2,62,62,62,2,44.00,Kyle Roderick,203687,872,+15,63,70,68,920,893,897,201
MA2,62,62,62,3,40.00,Ewan Penman,205573,898,+24,72,73,65,838,867,923,210
MA2,62,62,62,4,36.00,Thomas Wells,237667,863,+25,63,68,80,920,910,793,211
MA2,62,62,62,5,32.00,Zvi Teff,50955,862,+38,72,77,75,838,834,836,224
MA2,62,62,62,5,32.00,Adrian Sorin Mutei,239072,,+38,71,77,76,847,834,827,224
MA2,62,62,62,7,24.00,David Faithfull,121935,841,+45,74,78,79,820,825,801,231
MA2,62,62,62,8,20.00,Jamie Wells,,,+48,72,86,76,838,758,827,234
MA2,62,62,62,9,0.00,John Clark,148952,859,,64,78,999,911,825,,999
MA2,62,62,62,9,0.00,Ricci Russle,,,,77,89,999,792,732,,999
MA2,62,62,62,11,0.00,Callum Beattie,147378,858,,70,999,999,856,,,999
MA3,62,62,62,1,42.00,Jon Luke Henderson,237660,850,+25,68,72,71,874,876,871,211
MA3,62,62,62,2,39.00,Stephen Scott,237662,831,+40,71,74,81,847,859,784,226
MA3,62,62,62,3,36.00,Andrea Trevisan,,,+41,70,76,81,856,842,784,227
MA3,62,62,62,4,33.00,James Reddaway,259983,,+42,70,83,75,856,783,836,228
MA3,62,62,62,5,30.00,Michael Varrow,147652,813,+53,80,79,80,765,817,793,239
MA3,62,62,62,6,27.00,Grant Lopes,,,+58,74,88,82,820,741,775,244
MA3,62,62,62,7,24.00,Iain MacKenzie (oggie),,,+60,87,81,78,701,800,810,246
MA3,62,62,62,8,21.00,David Mckie,,,+62,87,80,81,701,808,784,248
MA3,62,62,62,8,21.00,Carl Roderick,214307,786,+62,80,82,86,765,791,740,248
MA3,62,62,62,10,15.00,Anthony Jackson,228139,771,+65,78,89,84,783,732,758,251
